Designator,Value,Footprint / Package,JLCPCB Part No.
C1,10pF,0805,C157608
C2,4.7uF,0402,C167656
C4,20pF,0402,C1554
C5,100nF,0805,C286511
C6,20pF,0402,C1554
C7,12pF,0402,C1547
C8,4.7uF,0402,C191541
C9,4.7uF,0402,C191541
C10,12pF,0402,C1547
C11,4.7uF,0805,C215908
C12,100nF,0805,C286511
C13,100nF,0805,C286511
C14,100nF,0805,C286511
C15,100nF,0805,C286511
C16,1uF,0805,C215803
C17,10nF,0805,C24666
C18,1uF,0805,C215803
C19,4.7uF,0805,C215908
C20,1uF,0805,C215803
C22,1uF,0805,C215803
D1,Blue LED,0805,C108412
D2,Yellow LED,0805,C84261
D3,1N5817,DO-41,C698892
D4,Red LED,0805,C84256
D5,BZX84C7V5LT1G,SOT-23-3,C236201
FB1,Ferrite Bead,0805,C285595
J1,SWD_Connector,IDC 2x05_2.54mm,C132435
J2,USART_Interface,PinHeader_2x05_2.54mm,C706895
J3,SPI_Interface,PinHeader_2x05_2.54mm,C706895
J4,Unused Pin,PinHeader_2x08_2.54mm,C706898
J5,LED_Switch,PinHeader_2x03_2.54mm,C706893
J8,RFM_Switch,PinHeader_2x04_2.54mm,C706894
J9,ADC Pin,PinHeader_2x08_2.54mm,C706898
J10,Unused Pin,PinHeader_2x11_2.54mm,C725883
J11,Micro_SD_Card,SMD_Molex,C585350
J12,I2C Interface,PinHeader_2x04_2.54mm,C706894
J13,Power out,PinHeader_1x04_2.54mm,C706876
J14,Power In,"2, 3.5mm screw terminal",C474892
J6,U.FL Connector,SMD-3,C411563
J16,RFM_DIO,PinHeader_1x06_2.54mm,C706878
J17,SDI-12,"3, 3.5mm screw terminal",C784941
Q1,BSS123LT1G,SOT-23-3,C78755
R1,10k,0805,C100047
R2,10k,0805,C100047
R3,220,0805,C101564
R4,220,0805,C101564
R5,22,0805,C25295
R6,10k,0402,C25744
R7,10k,0402,C25744
R8,220,0805,C101564
R9,10k,0402,C25744
R10,10k,0402,C25744
R11,10k,0402,C25744
R12,220,0805,C101564
R13,220,0805,C101564
R14,220,0805,C101564
SW1,BOOT0,SW-TH_SS-12D10L3,C319013
SW2,RESET,KEY-TH,C2828575
U1,STM32F411R(C_E)T6,LQFP-64_10.0x10.0x0.5P,C94355
U2,SN74LVC1G125DBVR,SOT-23-5,C23654
U3,RFM95W_96W_98W,SMD-16_16.0X16.0X2.0P,C2844472
U4,MCP1703,SOT-223-3,C622636
Y1,8MHz,SMD5032-2P,C880109
Y2,32kHz,SMD-1.5x3.2_2P-1,C271654